name,lon,lat
LA HALLE CHAUSSURES ET MAROQUINERIE RESERVE ABIDJAN,5.359952,-4.008256
CALAIS MIXTE,3.608247,49.3867185
LA HALLE LILLE - LOMME,50.72581560000001,2.9348067266666664
LA HALLE AIRE-SUR-LA-LYS,50.7352912,2.0440405333333334
LA HALLE GHISONACCIA,41.79845035,9.074035649833334
LA HALLE HENDAYE,43.348605,-1.771945
LA HALLE AUX CHAUSSURES ST JEAN DE LUZ,43.406217,-1.616355
LA HALLE ANGLET - BAYONNE,43.4838,-1.5058150000000001
LA HALLE AUX CHAUSSURES BAYONNE,43.49839,-1.44775
LA HALLE AUX CHAUSSURES OLORON SAINTE MARIE,43.18123,-0.61735
LA HALLE AUX CHAUSSURES ORTHEZ INTERMARCHE,43.48206,-0.74714
LA HALLE PAU - LESCAR,43.321205,-0.43039
LA HALLE AUX CHAUSSURES PAU CV,43.296856,-0.366884
LA HALLE LONS,43.32927,-0.38336
LA HALLE AUX CHAUSSURES PAU OUSSE,43.28918,-0.27017
LA HALLE AUX CHAUSSURES LORIENT CARREFOUR,47.75957,-3.3923
La HALLE LORIENT 2 LANESTER,47.77672,-3.34061
LA HALLE AURAY,47.662865,-3.005605
MARENNES D'OLERON,45.826755,-1.093455
LA HALLE AUX CHAUSSURES ROYAN VAUX SUR MER,45.64796,-1.05024
LA HALLE ROYAN,45.632835,-0.9849650000000001
LA HALLE ROCHEFORT,45.953325,-0.980395
LA HALLE AUX CHAUSSURES ANGOULINS,46.10742,-1.09897
LA HALLE SAINTES,45.74769,-0.67501
LA HALLE AUX CHAUSSURES SAINTES COTEAUX,45.74964,-0.67395
La HALLE LA ROCHELLE 2,46.17638333333334,-1.1114866666666667
LA HALLE SURGERES,46.11079,-0.73851
LA HALLE AUX CHAUSSURES ST JEAN D'ANGELY,45.95361,-0.53042
LA HALLE JONZAC,45.442183995,-0.441829
LA HALLE COGNAC - CHÃTEAUBERNARD,45.681349999999995,-0.30921
LA HALLE AUX CHAUSSURES JARNAC,45.68644,-0.16837
LA HALLE AUX ENFANTS NIORT,46.33566,-0.4083433333333333
LA HALLE AUX CHAUSSURES BORDEAUX ST ANDRE CUBZAC,45.01415,-0.42682
LA HALLE AUX CHAUSSURES AZAY LE BRULE,46.40349,-0.2293
LA HALLE COUTRAS,45.051215,-0.11325
LA HALLE BREST,48.407317500000005,-4.5000025
LA HALLE MORLAIX,48.573642500000005,-3.8584915
